name,SMILES
mol_134,CN1CCN(CCN2CCN(CCCN3c4ccccc4Sc4ccc(Cl)cc43)CC2)C1=O
mol_135,Cl.Nc1cc(C(F)(F)F)c(-c2cc(N3CCOCC3)nc(N3CCOCC3)n2)cn1
mol_136,CC(C)(C)OC(=O)NC(Cc1ccccn1)C(=O)O
mol_137,CC(C)(C)OC(=O)NC(C(=O)O)C1CCCCC1
mol_138,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1
mol_139,CCC1CN2CCc3c([nH]c4cccc(OC)c34)C2CC1C(=COC)C(=O)OC
mol_140,CCC(O)C(C)C1OC1CC(C)C=CC=C(C)C1OC(=O)CC(O)CCC(C)(O)C(OC(C)=O)C=CC1C
mol_141,Cc1ccc(S(=O)(=O)ONC(=O)OC(C)(C)C)cc1
mol_142,CN(C(=O)OCC1c2ccccc2-c2ccccc21)C(Cc1ccccc1)C(=O)O
mol_143,CC(C)CC(NC(=O)OC(C)(C)C)C(=O)N1CCCC1C(=O)NC(C)C(=O)NC(CS)C(C)O
mol_144,[H]C([H])([H])Oc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1
mol_145,O=C([O-])c1ccc(C2=c3cc4c5c(c3Oc3c2cc2c6c3CCCN6CCC2)CCC[N+]=5CCC4)c(C(=O)O)c1
mol_146,CC1=NC(=Cc2cc(F)c(O)c(F)c2)C(=O)N1C
mol_147,CC(C)(C)OC(=O)C(N)CSSCC(N)C(=O)OC(C)(C)C.Cl.Cl
mol_148,C=C1c2cc(OCCOC)cnc2C=CN1C(C)c1nnc2c(F)cc(-c3cnn(C)c3)cn12
mol_149,CC1=C(C(=O)Nc2cc3cn[nH]c3cc2F)C(c2ccc(C(F)(F)F)cc2)CC(=O)N1
mol_150,Cn1nc(C2CC2)cc1NC(=O)NC(CO)CCN1CC(Oc2ccc(Cl)cc2)C1
mol_151,CCC(C)C(NC(C)=O)C(=O)N1CCCC1C(=O)NC(C=O)Cc1ccccc1
mol_152,NC(=O)C1CCCCC1C(=O)Nc1ccc(Cl)c(Cl)c1
mol_153,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Br)Br
