Name,SMILES,BestFragment,BestScore
,CC(C)(C)OC(=O)N[C@H](CC1=CC=CC=N1)C(=O)O,CN[C@H](Cc1ccccn1)C(C)=O,-5.0
,CC(C)(C)OC(=O)NC(C1CCCCC1)C(=O)O,COC(C)(C)C,-3.5
,C[C@H](C1=NCCN1)OC2=C(C=CC=C2Cl)Cl,Cc1c(Cl)cccc1Cl,-5.5
,CCC1CN2CCC3=C([C@@H]2C[C@@H]1C(=COC)C(=O)OC)NC4=C3C(=CC=C4)OC,CCC1CN2CCc3c([nH]c4cccc(OC)c34)[C@@H]2C[C@@H]1C(C)C(C)=O,-8.4
,CC[C@@H]([C@@H](C)[C@@H]1[C@H](O1)C[C@H](C)C=CC=C(C)[C@@H]2[C@H](C=C[C@@H]([C@](CC[C@H](CC(=O)O2)O)(C)O)OC(=O)C)C)O,CCC=C(C)[C@H]1OC(=O)C[C@H](O)CC[C@@](C)(O)[C@@H](OC)C=C[C@@H]1C,-6.9
,CC1=CC=C(C=C1)S(=O)(=O)ONC(=O)OC(C)(C)C,CNOS(=O)(=O)c1ccc(C)cc1,-5.6
,CN([C@H](CC1=CC=CC=C1)C(=O)O)C(=O)OCC2C3=CC=CC=C3C4=CC=CC=C24,CCC1c2ccccc2-c2ccccc21,-7.3
,C[C@H]([C@@H](CS)NC(=O)[C@H](C)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CC(C)C)NC(=O)OC(C)(C)C)O,CN[C@H](CS)[C@@H](C)O,-4.4
,[2H]C([2H])([2H])OC1=CC2=C(C=C1)N=C(N2)S(=O)CC3=NC=C(C(=C3C)OC)C,COc1c(C)cnc(CS(=O)c2nc3ccc(C)cc3[nH]2)c1C,-7.2
,C1CC2=CC3=C(C4=C2N(C1)CCC4)OC5=C6CCC[N+]7=C6C(=CC5=C3C8=C(C=C(C=C8)C(=O)[O-])C(=O)O)CCC7,CO,-2.2
,CC1=N/C(=C\C2=CC(=C(C(=C2)F)O)F)/C(=O)N1C,CC1=NC(C)C(=O)N1C,-5.5
,CC(C)(C)OC(=O)[C@H](CSSC[C@@H](C(=O)OC(C)(C)C)N)N.Cl.Cl,CC(=O)[C@@H](N)CSSC[C@H](N)C(C)=O,-4.8
,C[C@H](C1=NN=C2N1C=C(C=C2F)C3=CN(N=C3)C)N4C=CC5=C(C4=C)C=C(C=N5)OCCOC,C=C1c2cc(C)cnc2C=CN1C,-6.0
,CC1=C([C@@H](CC(=O)N1)C2=CC=C(C=C2)C(F)(F)F)C(=O)NC3=C(C=C4C(=C3)C=NN4)F,CC(=O)C1=C(C)NC(=O)C[C@H]1c1ccc(C(F)(F)F)cc1,-7.0
,CN1C(=CC(=N1)C2CC2)NC(=O)NC(CCN3CC(C3)OC4=CC=C(C=C4)Cl)CO,Cc1ccc(Cl)cc1,-5.1
,CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC2=CC=CC=C2)C=O)NC(=O)C,CN[C@H](C=O)Cc1ccccc1,-5.2
,C1CC[C@@H]([C@@H](C1)C(=O)N)C(=O)NC2=CC(=C(C=C2)Cl)Cl,CC(=O)[C@H]1CCCC[C@H]1C(N)=O,-6.0
,C1=CC(=CC=C1[C@H]([C@@H](CO)NC(=O)C(Br)Br)O)[N+](=O)[O-],CN[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1,-5.4
,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O.O,CNc1ccc([N+](=O)[O-])cc1Cl,-5.7
,C1=CC2=C(C=C1OC(F)(F)F)SC(=N2)NO,Cc1ccc2nc(C)sc2c1,-6.4
,CC(C)NC(=O)CN1CCN(CC1)C(=O)/C=C/C2=CC(=C(C(=C2)OC)OC)OC,CN1CCN(C)CC1,-3.9
,COC1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)C=CC(=O)NO,CCc1ccc(C)cc1,-5.6
