SMILES,Canonical_SMILES
CCc1ccc(Cc2nc3ccccc3[nH]2)cc1,CCc1ccc(Cc2nc3ccccc3[nH]2)cc1
CCCCN1c2ccccc2Sc2ccc(Cl)cc21,CCCCN1c2ccccc2Sc2ccc(Cl)cc21
Cc1cnc(N)cc1C(F)(F)F,Cc1cnc(N)cc1C(F)(F)F
CN[C@H](Cc1ccccn1)C(C)=O,CNC(Cc1ccccn1)C(C)=O
COC(C)(C)C,COC(C)(C)C
Cc1c(Cl)cccc1Cl,Cc1c(Cl)cccc1Cl
CCC1CN2CCc3c([nH]c4cccc(OC)c34)[C@@H]2C[C@@H]1C(C)C(C)=O,CCC1CN2CCc3c([nH]c4cccc(OC)c34)C2CC1C(C)C(C)=O
CCC=C(C)[C@H]1OC(=O)C[C@H](O)CC[C@@](C)(O)[C@@H](OC)C=C[C@@H]1C,CCC=C(C)C1OC(=O)CC(O)CCC(C)(O)C(OC)C=CC1C
CNOS(=O)(=O)c1ccc(C)cc1,CNOS(=O)(=O)c1ccc(C)cc1
CCC1c2ccccc2-c2ccccc21,CCC1c2ccccc2-c2ccccc21
CN[C@H](CS)[C@@H](C)O,CNC(CS)C(C)O
COc1c(C)cnc(CS(=O)c2nc3ccc(C)cc3[nH]2)c1C,COc1c(C)cnc(CS(=O)c2nc3ccc(C)cc3[nH]2)c1C
CO,CO
CC1=NC(C)C(=O)N1C,CC1=NC(C)C(=O)N1C
CC(=O)[C@@H](N)CSSC[C@H](N)C(C)=O,CC(=O)C(N)CSSCC(N)C(C)=O
C=C1c2cc(C)cnc2C=CN1C,C=C1c2cc(C)cnc2C=CN1C
CC(=O)C1=C(C)NC(=O)C[C@H]1c1ccc(C(F)(F)F)cc1,CC(=O)C1=C(C)NC(=O)CC1c1ccc(C(F)(F)F)cc1
Cc1ccc(Cl)cc1,Cc1ccc(Cl)cc1
CN[C@H](C=O)Cc1ccccc1,CNC(C=O)Cc1ccccc1
CC(=O)[C@H]1CCCC[C@H]1C(N)=O,CC(=O)C1CCCCC1C(N)=O
CN[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1,CNC(CO)C(O)c1ccc([N+](=O)[O-])cc1
CNc1ccc([N+](=O)[O-])cc1Cl,CNc1ccc([N+](=O)[O-])cc1Cl
Cc1ccc2nc(C)sc2c1,Cc1ccc2nc(C)sc2c1
CN1CCN(C)CC1,CN1CCN(C)CC1
CCc1ccc(C)cc1,CCc1ccc(C)cc1
CS(=O)(=O)c1ccc(Cl)cc1,CS(=O)(=O)c1ccc(Cl)cc1
CCCN1CCC(C(=O)CC)(c2ccccc2)CC1,CCCN1CCC(C(=O)CC)(c2ccccc2)CC1
CN[C@H]1c2cc(C(C)=O)ccc2OC(C)(C)[C@@H]1O,CNC1c2cc(C(C)=O)ccc2OC(C)(C)C1O
Cc1ccc(N)cc1,Cc1ccc(N)cc1
CN1C(=O)c2cccnc2Nc2ccccc21,CN1C(=O)c2cccnc2Nc2ccccc21
COc1ccc([C@@H]2Sc3ccccc3N(C)C(=O)[C@@H]2OC)cc1,COc1ccc(C2Sc3ccccc3N(C)C(=O)C2OC)cc1
CN1C(=O)C(CCC(=O)C(C)(C)C)C(=O)N1C,CN1C(=O)C(CCC(=O)C(C)(C)C)C(=O)N1C
CCCCn1c(=O)[nH]c2ccccc2c1=O,CCCCn1c(=O)[nH]c2ccccc2c1=O
Cc1cc(C2CC2)c(Cl)cc1O,Cc1cc(C2CC2)c(Cl)cc1O
Cc1cc(C2CCCCC2)n(C)c(=O)c1,Cc1cc(C2CCCCC2)n(C)c(=O)c1
Cn1c(=O)[nH]c2ccccc2c1=O,Cn1c(=O)[nH]c2ccccc2c1=O
CCC(CC1CCNC1=O)NC,CCC(CC1CCNC1=O)NC
CN1CCCCC1,CN1CCCCC1
COc1cc(C)cc2c1C1=C(CCC(C)C1)C(C)(C)O2,COc1cc(C)cc2c1C1=C(CCC(C)C1)C(C)(C)O2
Cc1ccc(F)cc1,Cc1ccc(F)cc1
CNC1CCCCCCC1,CNC1CCCCCCC1
CCc1cc(Br)cc(Br)c1NC,CCc1cc(Br)cc(Br)c1NC
CC(=O)[C@@H]1N[C@H](C(C)(C)C)[C@@]2(C(=O)Nc3cc(Cl)c(F)cc32)[C@H]1c1cccc(Cl)c1,CC(=O)C1NC(C(C)(C)C)C2(C(=O)Nc3cc(Cl)c(F)cc32)C1c1cccc(Cl)c1
C#CC1(C)CCCCC1,C#CC1(C)CCCCC1
COC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,COC1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O
CC(=O)[C@@H](C)c1ccc(C)cc1,CC(=O)C(C)c1ccc(C)cc1
CC(=O)CCO/N=C\c1ccccc1C(F)(F)F,CC(=O)CCON=Cc1ccccc1C(F)(F)F
CCC1CC1,CCC1CC1
Cc1c(C)n(C)n(C)c1=O,Cc1c(C)n(C)n(C)c1=O
CN(C)c1cccc(C(=O)c2ccccc2)c1,CN(C)c1cccc(C(=O)c2ccccc2)c1
CC(=O)c1ccc(C)c(N)c1,CC(=O)c1ccc(C)c(N)c1
CCCCC(=O)c1ccc(F)cc1,CCCCC(=O)c1ccc(F)cc1
CN1CCc2ccccc2CC1,CN1CCc2ccccc2CC1
CCc1ccc(C(C)C)cc1,CCc1ccc(C(C)C)cc1
COc1cc(C(=O)c2cc(C)cc(C)c2)ccn1,COc1cc(C(=O)c2cc(C)cc(C)c2)ccn1
CC(=O)[C@H](N)Cc1cc(Br)c(O)c(Br)c1,CC(=O)C(N)Cc1cc(Br)c(O)c(Br)c1
CC(=O)[C@@H](N)Cc1ccc([N+](=O)[O-])cc1,CC(=O)C(N)Cc1ccc([N+](=O)[O-])cc1
COCC1c2ccccc2-c2ccccc21,COCC1c2ccccc2-c2ccccc21
CNc1ccc(Sc2ccc(N)cc2)cc1,CNc1ccc(Sc2ccc(N)cc2)cc1
CC1CCCCC1,CC1CCCCC1
CC/C=C/c1ccccc1,CCC=Cc1ccccc1
CC[C@H]1C=CC(=O)[C@@H]1CCCCCCC(=O)C(C)=O,CCC1C=CC(=O)C1CCCCCCC(=O)C(C)=O
CN1CCCC1,CN1CCCC1
CC1c2ccccc2Oc2ncccc21,CC1c2ccccc2Oc2ncccc21
CCc1cccnc1,CCc1cccnc1
