DRUG SMILES,FRAG_SMILES
Nc1ccc(CCNCC(O)c2ccccc2)cc1,CCCc1ccc(N)cc1
CN1CC(CCN2CC=C(c3ccccc3)CC2)OC1=O,CN1CC=C(c2ccccc2)CC1
CN1CCN(c2cccc3c2CC(NC(=O)c2ccc(OCC(F)(F)F)nc2)CO3)CC1,CNC1COc2cccc(C)c2C1
CN1CCN(C(=O)COc2ccc(C34CC5CC(CC(C5)C3)C4)cc2)CC1,CN1CCN(C)CC1
Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc(C3=CC(=O)NS3=O)cc2)c1,Cc1ccc(C2=CC(=O)NS2=O)cc1
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncc(O)cn2)CC1,CN1C(=O)CC2(CCCC2)CC1=O
CN1CCN(c2cccc3c2CC(NC(=O)c2ccc(OCCC(F)(F)F)nc2)CO3)CC1,CC(=O)c1ccc(C)nc1
Cc1cc(-c2cccc3c2CC(NC(=O)c2ccc(OCCOCC(F)(F)F)nc2)CO3)cnc1CO,CNC1COc2cccc(C)c2C1
Cc1cnc(-c2cccc3c2CC(NC(=O)c2ccc(OCC(F)(F)F)nc2)CO3)cn1,CNC1COc2cccc(C)c2C1
O=C1CC2(CCCC2)C(O)C(=O)N1CCCCN1CCN(c2ncccn2)CC1,CN1C(=O)CC2(CCCC2)C(O)C1=O
CCc1[nH]c(-c2ccc(OC)cc2)nc1-c1ccncc1,COc1ccc(C)cc1
CC1(F)CN(C(=O)Cn2cnc3c(c(-c4ccc(F)c(Cl)c4)cn3C3CC3)c2=O)C1,CN1CC(C)(F)C1
Cc1cc(O)cc(C)c1C=C1C(=O)N(Cc2ccccc2)C(=O)N(Cc2ccccc2)C1=O,CCc1c(C)cc(O)cc1C
CN(C)CC=CC(=O)Nc1cc2c(Nc3ccc(OCc4ccccn4)cc3)ncnc2cc1OC1CCOC1,CNc1cc2c(C)ncnc2cc1C
COCCOc1cc2ncnc(Nc3ccc(OCc4ccccn4)cc3)c2cc1NC(=O)C=CCN(C)C,CNc1cc2c(C)ncnc2cc1C
C=CC(=O)N1CCCC(n2nc(-c3ccc(C(F)(F)F)cc3)c3c(N)ncnc32)C1,Cc1ccc(C(F)(F)F)cc1
COC(=O)c1cc(O)ccc1NC(=O)C=Cc1ccc(O)c(O)c1,CCc1ccc(O)c(O)c1
CC(C(=O)O)N(C)C(=O)OCC1c2ccccc2-c2ccccc21,CCC1c2ccccc2-c2ccccc21
CCOc1nc2ccccc2n1Cc1ccc(NC(=O)N2CC(c3cccnc3)C2)cc1,CCOc1nc2ccccc2n1C
O=C(Cc1ccccc1)Nc1c2c(nc3ccccc13)N(Cc1ccccc1)CC2,CNc1c2c(nc3ccccc13)N(C)CC2
CCOC(=O)c1c(NC(=O)CN2CCN(C(=O)c3ccco3)CC2)sc2c1CCC2,CNc1sc2c(c1C(C)=O)CCC2
CC(C)N1C(=O)C(NC(=O)C(Cc2ccccc2F)NC(=O)c2ccccn2)CCc2c(F)c(F)cc(F)c21,CNC1CCc2c(F)c(F)cc(F)c2N(C)C1=O
Cl.Cl.c1cc(N2CCNCC2)c2cc[nH]c2c1,Cc1cccc2[nH]ccc12
Cc1cc(Cc2c(C)nn(CCC(=O)O)c2C)c2c(c1O)CCC2,Cc1cc(Cc2c(C)nn(C)c2C)c2c(c1O)CCC2
O=C(NCc1cccnc1)Nc1ccc(S(=O)(=O)NC2CCNCC2F)cc1,CNc1ccc(S(C)(=O)=O)cc1
CCCCC(=O)OC1(C(=O)CO)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC21C,CC12C=CC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(C)C(=O)CO
N#CC1(NC(=O)C2Cc3ccc(c(Cl)c3)OCC=CCOc3ccccc3C(=O)N2)CC1,CC(=O)C1Cc2ccc(c(Cl)c2)OCC=CCOc2ccccc2C(=O)N1
O=C(CSc1nnc(NCc2ccccc2)s1)NCC1CCCCC1,CCc1ccccc1
Nc1nc2cc(C(F)(F)F)ccc2n1Cc1ccc(Cl)cc1,Cn1c(N)nc2cc(C(F)(F)F)ccc21
O=S(=O)(c1nc(-c2ccc(F)cc2)c(-c2ccc(F)cc2)[nH]1)C(F)(F)C(F)F,Cc1nc(S(=O)(=O)C(F)(F)C(F)F)[nH]c1C
CN(C)CCCn1c(=O)c2ccccc2c2ccccc21,Cn1c(=O)c2ccccc2c2ccccc21
O=C1C(CCO)OC(c2cccc(Cl)c2)C(c2ccc(Cl)cc2)N1CC1CC1,CN1C(=O)C(CCO)OC(c2cccc(Cl)c2)C1c1ccc(Cl)cc1
Cc1cc(Nc2cc(NC(=O)c3c(Cl)cccc3Cl)ccn2)nc(N)n1,CC(=O)c1c(Cl)cccc1Cl
CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(=O)CCc1ccccc1,CCCC1C(O)CC(O)C1CCC(=O)CCc1ccccc1
Oc1c(Cl)cc(Cl)cc1CNc1ccc2n[nH]nc2c1,CCc1cc(Cl)cc(Cl)c1O
Cc1ccc(C(=O)c2cccn2CC=Cc2cccc(OCC(=O)O)c2)cc1,Cc1ccc(C(=O)c2cccn2C)cc1
C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)C=CCN4CCCCC4)cc23)c1,CNc1cc2c(C)ncnc2cc1OC
C=CC(=O)N1CCCC(n2nc(-c3cccc(C(F)(F)F)c3)c3c(N)ncnc32)C1,Cc1nn(C)c2ncnc(N)c12
CC1(c2cc(NC(=O)c3ccc(C#N)cn3)ccc2F)C=C(CF)OC(N)=N1,CNc1ccc(F)c(C2(C)C=C(CF)OC(N)=N2)c1
Cc1c(CN(C)C(=O)C=Cc2cnc3c(c2)C(C)(C)C(=O)N3)oc2ccccc12,CCc1cnc2c(c1)C(C)(C)C(=O)N2
COc1cc[n+]([O-])c(CS(=O)(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,COc1cc[n+]([O-])c(CS(=O)(=O)c2nc3ccc(C)cc3[nH]2)c1OC
C#Cc1cccc(Nc2ncnc3cc(OCC)c(NC(=O)C=CCN4CCCCC4)cc23)c1,CCOc1cc2ncnc(C)c2cc1NC
CC(CCC(=O)ON1C(=O)CCC1=O)SSc1ccccn1,CC(=O)CCC(C)SSc1ccccn1
C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c(NC(=O)C=CCN4CCCCC4)cc23)c1,C#Cc1cccc(C)c1
CCc1ccc(S(=O)(=O)c2ccccc2)cc1S(=O)(=O)NCCCN(C)C,CCc1ccc(S(=O)(=O)c2ccccc2)cc1S(C)(=O)=O
CC(C)(C)C(=O)N(CCCCCCN1CC(O)C(O)C(O)C1CO)C1CCCCCC1,CC1CCCCCC1
